Date,Route,Ridership
03/2019,CityLink Orange,246570
03/2019,CityLink Pink,180028
03/2019,CityLink Purple,160965
03/2019,CityLink Red,312921
03/2019,CityLink Silver,159971
03/2019,CityLink Yellow,174272
04/2019,21,52001
04/2019,22,224858
04/2019,26,128817
04/2019,28,88825
04/2019,29,106752
04/2019,30,139394
04/2019,31,96645
04/2019,33,22814
04/2019,34,21834
04/2019,36,63028
04/2019,37,67118
04/2019,38,3520
04/2019,51,40759
04/2019,52,8016
04/2019,53,109253
04/2019,54,186104
04/2019,56,123492
04/2019,57,9764
04/2019,59,33604
04/2019,62,64563
04/2019,63,47712
04/2019,65,31133
04/2019,67,26294
04/2019,69,38737
04/2019,70,51979
04/2019,71,39532
04/2019,73,35741
04/2019,75,34229
04/2019,76,74824
04/2019,77,46717
04/2019,78,117933
04/2019,79,40562
04/2019,80,191947
04/2019,81,47395
04/2019,82,37445
04/2019,83,89340
04/2019,85,129423
04/2019,87,44661
04/2019,89,47681
04/2019,91,21811
04/2019,92,6640
04/2019,93,33584
04/2019,94,43097
04/2019,95,15779
04/2019,103,8281
04/2019,104,458
04/2019,105,4665
04/2019,115,5146
04/2019,120,10391
04/2019,150,4816
04/2019,154,9986
04/2019,CityLink Blue,242184
04/2019,CityLink Brown,198579
04/2019,CityLink Gold,250032
04/2019,CityLink Green,176658
04/2019,CityLink Lime,159460
04/2019,CityLink Navy,199665
04/2019,CityLink Orange,240707
04/2019,CityLink Pink,176382
04/2019,CityLink Purple,152863
04/2019,CityLink Red,310273
04/2019,CityLink Silver,170469
04/2019,CityLink Yellow,181436
05/2019,21,59734
05/2019,22,237386
05/2019,26,141354
05/2019,28,97254
05/2019,29,115208
05/2019,30,157948
05/2019,31,105872
05/2019,33,25690
05/2019,34,23938
05/2019,36,67495
05/2019,37,75136
05/2019,38,2699
05/2019,51,43439
05/2019,52,8760
05/2019,53,124805
05/2019,54,202802
05/2019,56,127756
05/2019,57,11601
05/2019,59,37625
05/2019,62,70897
05/2019,63,54743
05/2019,65,35638
05/2019,67,28344
05/2019,69,41338
05/2019,70,53195
05/2019,71,46400
05/2019,73,38394
05/2019,75,39277
05/2019,76,80819
05/2019,77,50997
05/2019,78,129202
05/2019,79,45475
05/2019,80,208786
05/2019,81,47865
05/2019,82,40531
05/2019,83,90416
05/2019,85,138189
05/2019,87,45703
05/2019,89,52213
05/2019,91,24946
05/2019,92,9151
05/2019,93,34106
05/2019,94,50195
05/2019,95,17195
05/2019,103,9248
05/2019,104,468
05/2019,105,5029
05/2019,115,5589
05/2019,120,9883
05/2019,150,4744
05/2019,154,10482
05/2019,CityLink Blue,259191
05/2019,CityLink Brown,210232
05/2019,CityLink Gold,244995
05/2019,CityLink Green,197823
05/2019,CityLink Lime,173007
05/2019,CityLink Navy,215306
05/2019,CityLink Orange,267907
05/2019,CityLink Pink,198646
05/2019,CityLink Purple,181214
05/2019,CityLink Red,303177
05/2019,CityLink Silver,191301
05/2019,CityLink Yellow,187227
06/2019,21,53670
06/2019,22,221284
06/2019,26,134589
06/2019,28,90458
06/2019,29,112567
06/2019,30,140983
06/2019,31,101372
06/2019,33,24122
06/2019,34,22170
06/2019,36,64472
06/2019,37,67568
06/2019,38,2500
06/2019,51,40459
06/2019,52,7140
06/2019,53,115257
06/2019,54,197514
06/2019,56,131091
06/2019,57,9643
06/2019,59,35800
06/2019,62,67945
06/2019,63,60773
06/2019,65,33845
06/2019,67,23536
06/2019,69,41295
06/2019,70,51311
06/2019,71,43873
06/2019,73,33725
06/2019,75,39495
06/2019,76,72202
06/2019,77,49895
06/2019,78,117287
06/2019,79,42852
06/2019,80,195025
06/2019,81,49462
06/2019,82,37200
06/2019,83,89167
06/2019,85,140084
06/2019,87,45283
06/2019,89,49591
06/2019,91,23190
06/2019,92,7404
06/2019,93,35979
06/2019,94,45888
06/2019,95,15340
06/2019,103,8045
06/2019,104,323
06/2019,105,4193
06/2019,115,4616
06/2019,120,8756
06/2019,150,4385
06/2019,154,9012
06/2019,CityLink Blue,243805
06/2019,CityLink Brown,198229
06/2019,CityLink Gold,247754
06/2019,CityLink Green,187270
06/2019,CityLink Lime,160361
06/2019,CityLink Navy,209980
06/2019,CityLink Orange,248288
06/2019,CityLink Pink,195479
06/2019,CityLink Purple,170051
06/2019,CityLink Red,302571
06/2019,CityLink Silver,173752
06/2019,CityLink Yellow,186896
07/2019,21,54072
07/2019,22,190141
07/2019,26,121853
07/2019,28,77426
07/2019,29,105586
07/2019,30,131046
07/2019,31,93642
07/2019,33,19528
07/2019,34,22277
07/2019,36,62017
07/2019,37,65286
07/2019,38,
07/2019,51,43791
07/2019,52,7580
07/2019,53,102057
07/2019,54,189912
07/2019,56,124572
07/2019,57,8172
07/2019,59,30292
07/2019,62,65127
07/2019,63,62257
07/2019,65,37260
07/2019,67,24587
07/2019,69,41549
07/2019,70,51846
07/2019,71,43305
07/2019,73,38954
07/2019,75,40355
07/2019,76,70891
07/2019,77,43662
07/2019,78,109255
07/2019,79,40791
07/2019,80,188549
07/2019,81,46260
07/2019,82,34147
07/2019,83,93500
07/2019,85,132220
07/2019,87,43029
07/2019,89,46546
07/2019,91,20095
07/2019,92,2660
07/2019,93,36386
07/2019,94,41324
07/2019,95,14575
07/2019,103,7887
07/2019,104,634
07/2019,105,3851
07/2019,115,4833
07/2019,120,10045
07/2019,150,4519
07/2019,154,9371
07/2019,CityLink Blue,230888
07/2019,CityLink Brown,196255
07/2019,CityLink Gold,244422
07/2019,CityLink Green,178271
07/2019,CityLink Lime,157487
07/2019,CityLink Navy,196318
07/2019,CityLink Orange,242552
07/2019,CityLink Pink,189167
07/2019,CityLink Purple,167587
07/2019,CityLink Red,297572
07/2019,CityLink Silver,173377
07/2019,CityLink Yellow,184821
08/2019,21,51496
08/2019,22,194286
08/2019,26,120165
08/2019,28,78054
08/2019,29,106002
08/2019,30,132693
08/2019,31,90666
